Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,mes_nome,mes_n,dia_nome,dia_n
321,2018-04-26,Women's hair cut,SMIC01,SINEAD,1,70.0,3.5,5.6,April,4,Thursday,3
322,2018-04-26,Men's hair cut,MOYJ01,JJ,1,40.0,2.0,3.2,April,4,Thursday,3
323,2018-04-27,Blow dry bundle 5+1,SIRM01,HOUSE,1,250.0,12.5,20.0,April,4,Friday,4
324,2018-04-27,Men's hair cut,GRET01,JJ,1,40.0,2.0,3.2,April,4,Friday,4
325,2018-04-27,Men's hair cut,YATT01,BECKY,1,50.0,2.5,4.0,April,4,Friday,4
326,2018-04-27,Women's hair cut,CHEW01,JJ,1,102.0,5.1,8.16,April,4,Friday,4
327,2018-04-27,Blowdry,LEWH01,JJ,1,32.0,1.6,2.56,April,4,Friday,4
328,2018-04-27,Men's hair cut,REIM01,BECKY,1,30.0,1.5,2.4,April,4,Friday,4
329,2018-04-27,Men's hair cut,KLEA01,BECKY,1,50.0,2.5,4.0,April,4,Friday,4
330,2018-04-27,Women's hair cut,KM01,JJ,1,82.0,4.1,6.56,April,4,Friday,4
330,2018-04-27,Shu essence absolue oil 150m,KM01,JJ,1,62.1,3.105,4.968,April,4,Friday,4
330,2018-04-27,Shu cotton uzu 75m,KM01,JJ,1,37.8,1.89,3.024,April,4,Friday,4
331,2018-04-27,Women's hair cut,GOSD01,JJ,1,102.0,5.1,8.16,April,4,Friday,4
332,2018-04-27,Blowdry,ARMG01,BECKY,1,30.0,1.5,2.4,April,4,Friday,4
333,2018-04-27,Women's hair cut,LINM02,JJ,1,82.0,4.1,6.56,April,4,Friday,4
334,2018-04-27,Women's hair cut,MUMK01,JJ,1,75.0,3.75,6.0,April,4,Friday,4
336,2018-04-27,Blowdry,OZIS01,BECKY,1,30.0,1.5,2.4,April,4,Friday,4
337,2018-04-27,Women's hair cut,TINA01,JJ,1,82.0,4.1,6.56,April,4,Friday,4
337,2018-04-27,KM Anti gravity lotion 150ml,TINA01,JJ,1,28.8,1.44,2.304,April,4,Friday,4
338,2018-04-27,Men's hair cut,HARW01,JJ,1,40.0,2.0,3.2,April,4,Friday,4
338,2018-04-27,KM Motion lotion 150ml,HARW01,JJ,1,28.8,1.44,2.304,April,4,Friday,4
339,2018-04-27,Women's hair cut,RANZ01,BECKY,1,60.0,3.0,4.8,April,4,Friday,4
34,2018-03-21,Men's hair cut,POTR01,JJ,1,40.0,2.0,3.2,March,3,Wednesday,2
341,2018-04-28,Blowdry,RODP01,SINEAD,1,50.0,2.5,4.0,April,4,Saturday,5
